rating,aftertaste,aroma,body,flavor,coffee_origin,roast_level,roaster,roaster_location
92,8.0,8.0,9.0,9.0,"Lake Kivu, DRC Congo",Medium-Light,Ghost Town Coffee Roasters,"Bozeman, Montana"
92,8.0,9.0,8.0,9.0,"Sidama (also Sidamo) region, Ethiopia",Medium-Light,Dapper & Wise,"Portland, Oregon"
92,8.0,9.0,8.0,9.0,"Guji Zone, Oromia region, southern Ethiopia",Medium-Light,Bluebeard Coffee Roasters,"Tacoma, Washington"
93,8.0,9.0,9.0,9.0,"Gakenke, Northern Province, Rwanda",Medium-Light,Tony's Coffee,"Bellingham, Washington"
93,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,Olympia Coffee Roasting,"Olympia, Washington"
93,8.0,9.0,8.0,9.0,"Jimma Zone, Oromia State, Ethiopia",Medium,Fire Ridge Coffee,"Missoula, Montana"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia region, southern Ethiopia",Medium-Light,Indaba Coffee Roasters,"Spokane, Washington"
96,8.0,10.0,9.0,10.0,"Sidama growing region, southern Ethiopia",Light,Revel Coffee,"Billings, Montana"
90,8.0,8.0,8.0,8.0,"Motozintla de Mendoza, Chiapas State, Mexico",Medium,Lone Coffee,"Escondido, California"
92,8.0,9.0,8.0,9.0,"El Socorro, Comayagua Department, Honduras",Medium-Light,Lone Coffee,"Escondido, California"
93,8.0,9.0,8.0,9.0,"Huila Department, Colombia",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
92,8.0,9.0,8.0,9.0,"Ka’u, Big Island of Hawai’i",Medium-Light,Kona Roasted,"Kailua-Kona, Hawaii"
93,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,9.0,9.0,"Boneza, Rwanda",Medium-Light,BeanFruit Coffee Co.,"Jackson, Mississippi"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia region, southern Ethiopia",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,9.0,9.0,"Gakenke, Rwanda",Medium-Light,Temple Coffee Roasters,"Sacramento, California"
90,8.0,8.0,8.0,8.0,"Vale de Grama, Mogiana, Brazil",Medium,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,"Quilanga, Ecuador",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
95,9.0,9.0,9.0,9.0,"Al-Haimah, Yemen",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
90,8.0,8.0,8.0,8.0,Colombia; Honduras; Rwanda,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
91,7.0,9.0,8.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Light,modcup coffee,"Jersey City, New Jersey"
92,7.0,9.0,9.0,8.0,Nicaragua; East Timor,Medium,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,9.0,9.0,9.0,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,Indaba Coffee Roasters,"Spokane, Washington"
91,7.0,9.0,9.0,8.0,Colombia,Medium,Peach Coffee Roasters,"Johns Creek, Georgia"
94,8.0,9.0,9.0,9.0,Nicaragua; Colombia; East Timor,Medium,Red Rooster Coffee Roaster,"Floyd, Virginia"
94,8.0,9.0,9.0,9.0,"Huila, Colombia",Medium-Light,Steady State Roasting Company,"Carlsbad, California"
94,8.0,9.0,9.0,9.0,"Cauca, Colombia",Medium-Light,Steady State Roasting Company,"Carlsbad, California"
93,8.0,9.0,9.0,9.0,"Namasheke District, Western Province, Rwanda",Medium-Light,Temple Coffee Roasters,"Sacramento, California"
93,8.0,9.0,9.0,9.0,Papua New Guinea; Costa Rica,Medium-Light,Magnolia Coffee,"Charlotte, North Carolina"
93,8.0,9.0,9.0,9.0,"Valle de Cauca, Colombia",Medium-Light,Durango Coffee Company,"Durango, Colorado"
93,8.0,9.0,9.0,9.0,"South Kivu, Democratic Republic of the Congo",Medium-Light,Cafe Grumpy,"Brooklyn, New York"
94,8.0,9.0,9.0,9.0,"Bench-Maji Zone, southern Ethiopia",Medium-Light,Plat Coffee Roastery,"Hong Kong, China"
93,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium,The WestBean Coffee Roasters,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Pinchincha, Ecuador",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,9.0,9.0,9.0,"Lintong growing region, North Sumatra Province, Indonesia",Medium-Light,Cloud City Coffee,"Seattle, Washington"
94,8.0,9.0,9.0,9.0,"Boquete, Panama",Medium-Light,Klatch Coffee,"Los Angeles, California"
94,8.0,9.0,9.0,9.0,"Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium-Light,Hula Daddy Kona Coffee,"Holualoa, Hawaii"
95,9.0,9.0,9.0,9.0,"Bungoma, Kenya",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,8.0,9.0,9.0,10.0,"Guji Zone, Oromia Region, south-central Ethiopia",Medium-Light,Greater Goods Coffee Roasters,"Austin, Texas"
96,9.0,9.0,9.0,10.0,"idamo (also Sidama) growing region, southern Ethiopia",Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
96,9.0,9.0,9.0,10.0,Sumatra; Ethiopia,Medium,Thanksgiving Coffee Company,"Fort Bragg, California"
91,8.0,8.0,8.0,9.0,"Kona growing region, Big Island of Hawai’i",Medium,Kona Roasted,"Kailua-Kona, Hawai'i"
92,8.0,8.0,9.0,9.0,"South Kona growing region, Hawai’i",Medium,Kona Roasted,"Kailua-Kona, Hawai'i"
92,8.0,9.0,8.0,9.0,"Bhirkune Village, Nuwakot District, Nepal",Medium-Light,Press House Coffee,"Pittsburgh, Pennsylvania"
93,8.0,9.0,9.0,9.0,"Ka’u growing region, Big Island of Hawai’i",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,"Pitalito, Huila Department, Colombia",Light,Paradise Roasters,"Minneapolis, Minnesota"
91,7.0,9.0,8.0,8.0,"Guatemala; Colombia; Brazil; Ethiopia; Yunnan, China",Medium,Yum China,"Shanghai, China"
92,8.0,9.0,8.0,9.0,Brazil; Colombia; Rwanda; Democratic Republic of the Congo,Medium,Temple Coffee Roasters,"Sacramento, California"
93,8.0,9.0,9.0,9.0,"Caranavi, Bolivia",Medium-Light,Corvus Coffee Roasters,"Denver, Colorado"
92,8.0,9.0,8.0,9.0,"Captain Cook, North Kona growing district, “Big Island” of Hawaii",Medium,Hala Tree Kona Coffee,"Captain Cook, Hawaii"
93,8.0,9.0,9.0,9.0,"North Kona growing district, “Big Island” of Hawaii",Medium-Light,Hala Tree Kona Coffee,"Captain Cook, Hawaii"
93,8.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,9.0,9.0,8.0,9.0,"Biollet, Costa Rica",Light,Paradise Roasters,"Minneapolis, Minnesota"
92,8.0,8.0,9.0,9.0,Ethiopia; Guatemala,Medium-Light,Fidalgo Coffee,"Burlington, Washington"
95,9.0,9.0,9.0,10.0,"Embu County, Kenya",Medium-Light,GK Coffee,"Yilan, Taiwan"
85,7.0,7.0,7.0,7.0,"Bali, Indonesia",Medium,Mooju Coffee,"Temecula, California"
92,8.0,9.0,8.0,9.0,"North Kona growing district, “Big Island” of Hawaii",Medium,Hala Tree Kona Coffee,"Captain Cook, Hawaii"
92,8.0,9.0,8.0,9.0,Guatemala; Ethiopia,Medium-Light,Oak & Bond Coffee Company,"Charlotte, North Carolina"
93,8.0,9.0,9.0,9.0,"Huehuetenango, Guatemala",Medium,Oak & Bond Coffee Company,"Charlotte, North Carolina"
94,8.0,9.0,9.0,9.0,"Jambi Province, Sumatra, Indonesia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,8.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,9.0,9.0,9.0,"Kona growing region, Big Island of Hawai'i",Medium,Rusty's Hawaiian,"Pahala, Hawaii"
93,8.0,9.0,9.0,9.0,"Ka’u growing region, Big Island of Hawai'i",Medium-Light,Big Island Coffee Roasters,"Mountain View, Hawai'i"
94,8.0,9.0,9.0,9.0,"Ka’u growing region, Big Island of Hawai'i",Medium-Light,Big Island Coffee Roasters,"Mountain View, Hawai'i"
93,8.0,9.0,8.0,9.0,Kenya,Medium-Light,De Clieu Coffee,"Taipei, Taiwan"
92,8.0,9.0,8.0,9.0,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium,Vennel Coffee,"Keelung, Taiwan"
93,8.0,9.0,9.0,9.0,"Nariño, Colombia",Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
94,9.0,9.0,8.0,9.0,"Boquete growing region, western Panama",Not disclosed,Difference Coffee,"London, England"
93,8.0,9.0,9.0,9.0,"Antigua growing region, Guatemala",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,"Inza, Cauca Department, Colombia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
96,9.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
92,8.0,9.0,8.0,9.0,"Alishan, Chia-Yi City, Taiwan",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Aceh Province, Sumatra, Indonesia",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
94,8.0,9.0,9.0,9.0,"Pantan Musara, Gayo, Sumatra, Indonesia",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,"Paéz, Cauca Department, Colombia",Medium-Light,States Coffee & Mercantile,"Martinez, California"
94,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
94,8.0,9.0,9.0,9.0,"Kona, Big Island of Hawai’i",Medium,Paradise Roasters,"Minneapolis, Minnesota"
90,8.0,8.0,8.0,8.0,Brazil; Costa Rica,Medium,Rhetoric Coffee,"Berkeley, California"
92,8.0,9.0,8.0,8.0,"El Diamante, Jaén, Peru",Medium,Temple Coffee Roasters,"Sacramento, California"
92,8.0,9.0,8.0,9.0,El Salvador; Peru,Medium,Rhetoric Coffee,"Berkeley, California"
93,8.0,9.0,8.0,9.0,Ethiopia; Nicaragua,Medium,Kakalove Cafe,"Chia-Yi, Taiwan"
93,9.0,9.0,8.0,9.0,"Huabal, Peru",Medium-Light,Amavida Coffee Roasters,"Santa Rosa Beach, Florida"
93,8.0,9.0,8.0,9.0,"Nariño Department, southern Colombia",Medium-Light,Revel Coffee,"Billings, Montana"
93,8.0,9.0,9.0,9.0,Brazil; Colombia; Ethiopia,Medium,Rhetoric Coffee,"Berkeley, California"
94,8.0,9.0,9.0,9.0,"Aceh Province, Sumatra, Indonesia",Medium-Light,Revel Coffee,"Billings, Montana"
94,8.0,9.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium,Temple Coffee Roasters,"Sacramento, California"
95,8.0,9.0,9.0,10.0,"North Kona growing district, “Big Island” of Hawaii",Medium-Light,Hala Tree Kona Coffee,"Captain Cook, Hawaii"
94,8.0,9.0,9.0,9.0,"Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,modcup coffee,"Jersey City, New Jersey"
94,8.0,9.0,9.0,9.0,"Valle del Cauca growing region, Colombia",Light,modcup coffee,"Jersey City, New Jersey"
90,8.0,8.0,8.0,8.0,Brazil; Guatemala; Ethiopia; Indonesia,Medium,Atom Coffee Roasters,"Douliou City, Taiwan"
94,8.0,9.0,9.0,9.0,"Tobosi, Cartago Province, Costa Rica",Medium-Light,Atom Coffee Roasters,"Douliou City, Taiwan"
90,8.0,8.0,8.0,8.0,Brazil; Bali; Ethiopia,Not disclosed,modcup coffee,"Jersey City, New Jersey"
92,8.0,8.4,8.0,9.0,Brazil; Uganda; Colombia; El Salvador; Ethiopia,Not disclosed,Magnolia Coffee,"Charlotte, North Carolina"
92,8.0,8.4,8.0,9.0,Sumatra; Kenya; Colombia,Not disclosed,Equator Coffees,"San Rafael, California"
94,9.0,8.4,9.0,9.0,"Ipanema, Brazil",Not disclosed,GK Coffee,"Yilan, Taiwan"
93,8.0,8.4,9.0,9.0,El Salvador; Brazil,Not disclosed,Topeca Coffee,"Tulsa, Oklahoma"
93,8.0,8.4,8.0,9.0,"Guji Zone, Oromia region, southern Ethiopia",Not disclosed,Stumptown Coffee Roasters,"Portland, Oregon"
93,8.0,8.4,9.0,9.0,Colombia; Guatemala,Not disclosed,States Coffee & Mercantile,"Martinez, California"
93,8.0,8.4,9.0,9.0,Ethiopia,Not disclosed,Klatch Coffee,"Los Angeles, California"
94,8.0,8.4,9.0,9.0,"Jimma Zone, Oromia State, Ethiopia",Not disclosed,Bonfire Coffee Company,"Carbondale, Colorado"
93,8.0,8.4,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Not disclosed,Collage Coffee,"Grove City, Pennsylvania"
94,9.0,8.4,8.0,9.0,"Nyeri growing region, south-central Kenya",Not disclosed,Four Barrel Coffee,"San Francisco, California"
94,9.0,8.4,9.0,9.0,"Guji Zone, Oromia region, southern Ethiopia",Not disclosed,Corvus Coffee Roasters,"Denver, Colorado"
90,8.0,8.0,8.0,8.0,Brazil; Costa Rica,Medium,RamsHead Coffee Roasters,"Bozeman, Montana"
90,8.0,8.0,8.0,8.0,"San Jose, La Paz, Honduras",Medium,RamsHead Coffee Roasters,"Bozeman, Montana"
92,8.0,8.0,9.0,9.0,"Ahuachapan, El Salvador",Medium,RamsHead Coffee Roasters,"Bozeman, Montana"
93,8.0,9.0,8.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
93,8.0,9.0,9.0,9.0,Central Rwanda,Medium-Light,Durango Coffee Company,"Durango, Colorado"
94,8.0,9.0,9.0,9.0,Ethiopia; Democratic Republic of the Congo,Medium-Light,RND & Red Rooster Coffee Roaster,"Roanoke, Virginia and Floyd, Virginia"
94,8.0,9.0,9.0,9.0,"Alishan, Chaiyi, Taiwan",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,8.0,9.0,"Huila Department, Colombia",Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
94,8.0,9.0,9.0,9.0,"Chalatenango, El Salvador",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
95,9.0,9.0,9.0,9.0,"Planadas, Tolima Department, Colombia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
91,7.0,8.0,8.0,9.0,Not disclosed,Medium,Fieldheads Coffee,"Bigfork, Montana"
93,8.0,9.0,8.0,9.0,"Nariño, Colombia",Medium-Light,Oak & Bond Coffee Company,"Charlotte, North Carolina"
94,8.0,9.0,9.0,9.0,"South Kivu Province, the Democratic Republic of the Congo",Medium-Light,Conscious Cup Coffee Roasters,"Crystal Lake, Illinois"
94,8.0,9.0,9.0,9.0,"Acevedo, Huila Department, Colombia",Medium-Light,Corvus Coffee Roasters,"Denver, Colorado"
95,9.0,9.0,9.0,9.0,"Kirinyaga, Kenya",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
96,9.0,9.0,9.0,9.0,"Kirinyaga, Kenya",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
91,8.0,8.0,8.0,8.0,El Salvador; Ethiopia; Colombia,Medium,RamsHead Coffee Roasters,"Bozeman, Montana"
91,8.0,8.0,8.0,8.0,Colombia; Ethiopia; Kenya,Medium,Choosy Gourmet,"Kaohsiung, Taiwan"
91,8.0,8.0,8.0,9.0,"Yunnan Province, China",Medium-Light,Baba Java Coffee,"Hoover, Alabama"
92,8.0,9.0,9.0,8.0,Ethiopia; Yemen,Medium-Light,Baba Java Coffee,"Hoover, Alabama"
93,8.0,9.0,9.0,9.0,Yemen,Medium-Light,Baba Java Coffee,"Hoover, Alabama"
93,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Atomic Coffee Roasters,"Salem, Massachusetts"
90,8.0,8.0,8.0,8.0,"Agaro Gera, Jimma Zone, Oromia Region, Ethiopia",Medium-Light,Brain Helmet,"Milwaukee, Wisconsin"
93,8.0,9.0,8.0,9.0,"Tlaltetela, Veracruz, Mexico",Medium-Light,Ilustre Specialty Coffees,"Tijuana, Mexico"
93,8.0,9.0,8.0,9.0,"Odo Shakiso District, Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,Brain Helmet,"Milwaukee, Wisconsin"
94,8.0,9.0,9.0,9.0,"Antioquia Department, northwest Colombia",Medium-Light,94 Fresh Coffee,"Kaohsiung City, Taiwan"
93,8.0,9.0,8.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,Atom Coffee Roasters,"Douliou City, Taiwan"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Light,David's Nose,"Taipei, Taiwan"
93,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Atom Coffee Roasters,"Douliou City, Taiwan"
93,8.0,9.0,8.0,9.0,Ethiopia; Colombia; Guatemala,Medium,Wheelys Café Taiwan,"Taipei, Taiwan"
92,8.0,9.0,8.0,9.0,"KwaZulu-Natal province, South Africa",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
92,8.0,8.0,9.0,9.0,"Isla Santa Cruz and Isla San Cristóbal, Galapagos Islands, Ecuador",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
93,8.0,8.0,9.0,9.0,Indonesia; Costa Rica; Brazil,Medium,Wheelys Cafe Taiwan,"Taipei, Taiwan"
94,8.0,9.0,9.0,9.0,"Tolima, Colombia",Light,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,"Nueva Segovia, Nicaragua",Light,Paradise Roasters,"Minneapolis, Minnesota"
95,9.0,9.0,9.0,9.0,"Volcano, Puna District, Big Island of Hawai’i",Light,Paradise Roasters,"Minneapolis, Minnesota"
90,8.0,8.0,9.0,8.0,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,Jackrabbit Java,"Thermopolis, Wyoming"
94,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Jackrabbit Java,"Thermopolis, Wyoming"
94,8.0,9.0,9.0,9.0,"Antigua, Guatemala",Medium-Light,Conscious Cup Coffee Roasters,"Crystal Lake, Illinois"
93,8.0,9.0,8.0,9.0,"Biollet, Costa Rica",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
92,8.0,9.0,8.0,9.0,"Huila, Colombia",Light,Dr. Bean's Coffee Roasters,"Memphis, Tennessee"
93,8.0,9.0,9.0,9.0,"Sumatra, Indonesia",Medium-Light,Southeastern Roastery,"Baltimore, Maryland"
90,8.0,8.0,8.0,9.0,"Thiotte, Haiti",Medium-Light,Dávila Kafe,"Washington, D.C."
92,8.0,8.0,8.0,9.0,"Bungoma region, western Kenya",Medium,RND,"Roanoke, Virginia"
92,8.0,8.0,9.0,9.0,"Mbeya, Tanzania",Medium,Red Bay Coffee,"Oakland, California"
93,8.0,9.0,8.0,9.0,"Ka'u growing district, ""Big Island"" of Hawai’i",Medium,Rusty's Hawaiian,"Pahala, Hawai'i"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, Southern Ethiopia",Light,Portrait Coffee,"Atlanta, Georgia"
94,9.0,8.0,9.0,9.0,"Agaro Gera, Jimma Zone, Oromia Region, Ethiopia",Light,Merge Coffee Company,"Harrisonburg, Virginia"
94,8.0,9.0,9.0,9.0,"Dipilto, Nicaragua",Medium-Light,Dávila Kafe,"Washington, D.C."
94,8.0,9.0,9.0,9.0,"Jimma Zone, Oromia State, Ethiopia",Light,BLK & Bold,"Des Moines, Iowa"
94,8.0,9.0,9.0,9.0,"Suaza, Huila, Colombia",Medium-Light,BeanFruit Coffee Co.,"Jackson, Mississippi"
95,9.0,9.0,9.0,9.0,"Ngozi Province, Burundi",Medium-Light,Boon Boona Coffee,"Renton, Washington"
95,9.0,9.0,9.0,9.0,"Sidama growing region, southern Ethiopia",Medium-Light,Equiano Coffee,"Eugene, Oregon"
87,7.0,7.0,8.0,8.0,Brazil; Guatemala; Indonesia,Medium,Cafe Arles,"Hsinchu, Taiwan"
93,8.0,9.0,9.0,9.0,"Wood Valley, Ka’u, Big Island of Hawai’i",Medium-Light,Origin Coffee Roasters,"Kihei, Maui, Hawai'i"
94,8.0,9.0,9.0,9.0,"Wood Valley, Ka’u, Big Island of Hawai’i",Medium-Light,Origin Coffee Roasters,"Kihei, Maui, Hawaii"
91,7.0,9.0,8.0,9.0,"Worka Chelbessa, Gedeb, Ethiopia",Medium-Light,Wonderstate Coffee,"Viroqua, Wisconsin"
92,8.0,9.0,8.0,9.0,Ethiopia; Peru,Medium-Light,Wonderstate Coffee,"Viroqua, Wisconsin"
93,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Medium-Light,Wonderstate Coffee,"Viroqua, Wisconsin"
94,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, southern Ethiopia",Light,Wonderstate Coffee,"Viroqua, Wisconsin"
94,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
96,9.0,9.0,9.0,10.0,"Nyeri growing region, south-central Kenya",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
91,8.0,8.0,8.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,Indaba Coffee Roasters,"Spokane, Washington"
93,8.0,9.0,9.0,9.0,"Guji Zone, Oromia Region, south-central Ethiopia",Medium-Light,Indaba Coffee Roasters,"Spokane, Washington"
93,8.0,9.0,8.0,9.0,Not disclosed,Medium,Doho Coffee Roasters,"Caotun, Nantou, Taiwan"
90,8.0,8.0,8.0,8.0,"Chiapas, Mexico",Medium-Light,Emiliani Coffee,"Minneapolis, Minnesota"
91,8.0,8.0,8.0,9.0,"Aceh, Sumatra, Indonesia",Medium,Emiliani Coffee,"Minneapolis, Minnesota"
92,8.0,9.0,8.0,9.0,Peru,Medium-Light,Emiliani Coffee,"Minneapolis, Minnesota"
86,7.0,7.0,7.0,8.0,Guatemala,Medium,421 Brew House,"Calgary, Alberta, Canada"
90,8.0,8.0,8.0,8.0,Rwanda,Medium-Light,421 Brew House,"Calgary, Alberta, Canada"
94,8.0,9.0,9.0,9.0,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,9.0,9.0,9.0,"Cajamarca, Peru",Medium-Light,SkyTop Coffee,"Manlius, New York"
94,8.0,9.0,9.0,9.0,"Odo Shakiso District, Guji Zone, southern Ethiopia",Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
93,8.0,9.0,8.0,9.0,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,SkyTop Coffee,"Manlius, New York"
94,8.0,9.0,9.0,9.0,"Embu, Kenya",Medium-Light,Temple Coffee Roasters,"Sacramento, California"
94,8.0,9.0,9.0,9.0,Ethiopia,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
94,8.0,9.0,9.0,9.0,"Murang'a County, central Kenya",Medium-Light,Drink Coffee Do Stuff,"Truckee, California"
95,9.0,9.0,9.0,9.0,"Sevilla, San Augustin, Huila, Colombia",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
95,9.0,9.0,9.0,9.0,"Kirinyaga, Kenya",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
94,8.0,9.0,9.0,9.0,"Tolima, Colombia",Medium-Light,Peach Coffee Roasters,"Johns Creek, Georgia"
94,8.0,9.0,9.0,9.0,"Nyeri growing region, south-central Kenya",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
94,8.0,9.0,9.0,9.0,"Yirgacheffe growing region, south-central Ethiopia",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada"
92,8.0,9.0,8.0,9.0,"Purosa Village, Eastern Highlands, Papua New Guinea",Medium-Light,Lamppost Coffee Roasters,"Bonney Lake, Washington"
93,8.0,9.0,9.0,9.0,"Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,Dory Coffee Roasters,"Taipei, Taiwan"
94,8.0,9.0,9.0,9.0,"Lintong growing region, North Sumatra Province, Indonesia",Medium-Light,Peacock Coffee Roaster,"Taipei, Taiwan"
92,8.0,9.0,8.0,9.0,"Sabanilla de Alajuela growing region, Costa Rica",Medium,Durango Coffee Company,"Durango, Colorado"
93,8.0,9.0,8.0,9.0,"Guji Zone, southern Ethiopia",Medium-Light,De Clieu Coffee,"Taipei, Taiwan"
92,9.0,9.0,8.0,8.0,Ethiopia; Nicaragua; Guatemala,Medium,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,8.0,9.0,"Acatenango growing region, central Guatemala",Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
93,8.0,9.0,8.0,9.0,"Kona, Big Island of Hawai’i",Light,Paradise Roasters,"Minneapolis, Minnesota"
94,8.0,9.0,9.0,9.0,Colombia; Guatemala; Ethiopia,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan"
95,9.0,9.0,9.0,9.0,"Illubabor Zone, Oromia Region, Ethiopia",Medium-Light,Paradise Roasters,"Minneapolis, Minnesota"
92,8.0,9.0,8.0,9.0,"Tarrazu growing region, Costa Rica",Medium-Light,CofFeeling,"Kaohsiung City, Taiwan"
92,8.0,8.0,9.0,9.0,"Santa Barbara, Honduras",Medium-Light,Per'la Specialty Roasters,"Miami, Florida"
93,8.0,9.0,9.0,9.0,"Santa Barbara, Honduras",Medium-Light,Small Eyes Cafe,"Yilan, Taiwan"
93,8.0,9.0,8.0,9.0,"Las Flores, Honduras",Medium-Light,Triple Coffee Co.,"San Francisco, California"
93,8.0,9.0,9.0,9.0,"Antigua growing region, Guatemala",Medium-Light,Atom Coffee Roasters,"Douliou City, Taiwan"
93,8.0,9.0,8.0,9.0,"Huehuetenango Department, Guatemala",Medium-Light,Corvus Coffee Roasters,"Denver, Colorado"
93,8.0,9.0,8.0,9.0,"Tecapa Chinameca growing region, El Salvador",Medium-Light,Bird Rock Coffee Roasters,"San Diego, California"
92,8.0,9.0,8.0,9.0,"Alotepec-Metapan region, El Salvador",Light,Red Rooster Coffee Roaster,"Floyd, Virginia"
92,8.0,9.0,8.0,9.0,"Chaguites, Honduras",Light,Plat Coffee Roastery,"Hong Kong, China"
92,8.0,8.0,9.0,9.0,"Bella Vista, Chiapas, Mexico",Medium-Light,Mr. Espresso,"Oakland, California"
92,8.0,9.0,8.0,9.0,"Santa Ana Department, El Salvador",Medium,Equator Coffees,"San Rafael, California"
93,8.0,9.0,9.0,9.0,"Huehuetenango Department, Guatemala",Medium-Light,Kaldi's Coffee,"St. Louis, Missouri"
93,8.0,9.0,9.0,9.0,"Matagalpa, Nicaragua",Light,David's Nose,"Taipei, Taiwan"
94,8.0,9.0,9.0,9.0,"Chalatenango, El Salvador",Medium-Light,GK Coffee,"Yilan, Taiwan"
91,8.0,8.0,8.0,9.0,"Canton de Desamparados, San Jose, Costa Rica",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin"
